"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCAM1",541.938763602863,-1.77349658111111,0.252660571900234,-7.01928507393467,2.23006366883678e-12,7.34334234644081e-10
"CACNA1A",219.364015552614,-1.83999664024266,0.262373523678997,-7.0128899228941,2.33445118616817e-12,7.54203918127501e-10
"SLC16A11",48.4712795883235,-1.52752146609032,0.219714887658394,-6.9522893162582,3.59405357333539e-12,1.13964776548559e-09
"PPP1R3F",131.730214943815,-1.06358279597097,0.153258308420398,-6.93980513639425,3.92641159353818e-12,1.22239901302099e-09
"CALY",207.308884880551,-2.478507277914,0.358473198427396,-6.91406579009837,4.70956584043304e-12,1.44003385510241e-09
"IQSEC3",110.529971626034,-1.58535655026119,0.22938507622366,-6.9113325782162,4.80121948613365e-12,1.44230318001871e-09
"LINC00926",148.012108919747,-1.69707580245244,0.245678270899697,-6.90771632443354,4.92517587283548e-12,1.45403080121659e-09
"CELF4",83.1521761907189,-1.93023373643368,0.27953151416243,-6.90524552202033,5.01166729404497e-12,1.454487780948e-09
"CELF5",26.2359356284868,-1.6172398320879,0.234377051325195,-6.90016289113561,5.19429438317617e-12,1.48236504538543e-09
"CHD5",50.6694878878562,-1.81399363153709,0.263132825986909,-6.89383251494186,5.4308961752913e-12,1.52447926572972e-09
"ACTL6B",47.5487581394929,-2.86437781964663,0.415657720030984,-6.891193598986,5.53261814939022e-12,1.52798420277433e-09
"VWA5B2",296.624756132143,-2.25368226197298,0.327785866579744,-6.87547112841944,6.17853200317163e-12,1.67928576968743e-09
"SEPT5",645.907243614512,-1.04276276338987,0.152197535047741,-6.85137747508708,7.31422302989632e-12,1.95689751470179e-09
"INSM1",288.978574232474,-2.24858879854033,0.328604408918071,-6.84284427571682,7.76360339192608e-12,2.03764427950179e-09
"CAPSL",7.8862386443313,-2.56601628825768,0.37560676214908,-6.8316562608615,8.39397899427738e-12,2.14522540774644e-09
"GDF1",10.7981866019966,-1.9585650538236,0.287424365314223,-6.81419284576805,9.47944744251171e-12,2.3848820166766e-09
