"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"LOC727896",25.0213337373521,0.0992067317156345,0.0994176654589168,0.997878307217247,0.318338372192434,0.485026621173943,"NS"
"LOC728024",18.2153994096455,-0.312606496810594,0.108384738402575,-2.88422984100838,0.00392372262294223,0.0213018080128852,"NS"
"NUTM2A-AS1",175.129349828329,0.0726079489456845,0.0676949308358392,1.07257586423656,0.283461458667881,0.449251254791756,"NS"
"CARMN",327.03093901516,-0.499576846195219,0.166033485719041,-3.00889211613972,0.00262202204889108,0.0156817616287677,"NS"
"LINC01881",16.8091276596522,0.0713857854798788,0.12327419715091,0.579081325449557,0.562534300054966,0.71060610735974,"NS"
"LOC728392",684.40725856848,-1.65724271469897,0.209632361522315,-7.90547176334965,2.66920772558272e-15,3.80873699042941e-12,"Down in DECEASED"
"LOC728554",204.516197134624,0.181711724312949,0.125445224011859,1.44853441607128,0.147467648032795,0.286374852607977,"NS"
"PCAT18",6.54637130834706,-0.0888888074471127,0.299914946408674,-0.296380052116475,0.766939857474727,0.861135159314083,"NS"
"PDCD6P1",144.395744112651,-0.212556828041333,0.103988109079696,-2.04404936220574,0.0409486709046902,0.116202202834108,"NS"
"FAM133CP",31.9226674794515,0.0211876545499138,0.0725052035706331,0.292222537231734,0.77011648108769,0.863079766667101,"NS"
"HNRNPA1P33",142.17777185505,0.330849771101404,0.12104350064076,2.7333129771529,0.00627007206206749,0.0296253984323349,"NS"
"ZBED3-AS1",10.4608590029626,-0.498293554172955,0.136423643364891,-3.65254542308458,0.00025965364765644,0.00276667667008166,"NS"
"LOC728743",207.753894171006,-0.43786320538496,0.0974886165169611,-4.4914290614513,7.07468652927197e-06,0.000163617701499512,"NS"
"PIN4P1",39.5489863265389,0.0311286205831009,0.0893945483661774,0.348216095411009,0.727677900925655,0.834730937063709,"NS"
"C1GALT1C1L",15.4814956661624,-0.0801907765706769,0.120790417046168,-0.663883597156775,0.506764815342139,0.665021538789825,"NS"
"LINC00623",405.956356369015,-0.163032561536417,0.0846663376334153,-1.9255889187307,0.0541557234606428,0.141963939500396,"NS"
"LOC728875",93.7254605867499,-0.269512440099766,0.149607458014287,-1.80146393553474,0.0716297867140801,0.172728417721638,"NS"
"LOC728989",5.64980745157965,-0.648507574918423,0.170141025828113,-3.81158848526979,0.000138076610460663,0.00173207750982998,"NS"
"RPEL1",28.6115723109916,0.186699019993266,0.095107482511222,1.96303187786762,0.0496424700662187,0.133247482118064,"NS"
"OIP5-AS1",383.684483577787,0.153114503167415,0.0701158319819494,2.18373652339792,0.0289816143311787,0.0900802654189097,"NS"
"GTF2IRD1P1",8.15665796761447,0.12593500495092,0.298946227953204,0.421263067318692,0.673562995950891,0.796781981324152,"NS"
"KATNBL1P6",28.0492971640185,0.229128350933084,0.0715385062334608,3.2028674205936,0.0013606660628945,0.00970929297047007,"NS"
"FAHD2CP",56.3282935409907,-0.227962593526399,0.10289167239546,-2.21555922086905,0.0267217042884978,0.0851657419461072,"NS"
"FAM86HP",38.7372426075299,0.10515425774738,0.115330310298625,0.911766017754599,0.361891902717927,0.528747341201324,"NS"
"LOC729603",30.5481649640084,-0.256405081017993,0.101791496379629,-2.51892437126315,0.0117713937497479,0.0465177879475959,"NS"
"LINC00847",408.481488881439,-0.25124769469731,0.0719194274945227,-3.49346071638911,0.000476803129304766,0.00439649972164001,"NS"
"SEC14L1P1",14.9858776541744,-0.263133763703619,0.103780646812799,-2.53548008983084,0.0112293311665656,0.0449672211330922,"NS"
"BORCS8",315.570370588938,-0.306713447817041,0.0784200612167813,-3.91116052522804,9.18536949005749e-05,0.00124727265486324,"NS"
"BORCS8-MEF2B",61.4256692385283,-0.0713484499224391,0.11080218381893,-0.643926387218456,0.519623169859344,0.675230138688741,"NS"
"LOC730101",110.773171782657,-0.409921750634806,0.12678346409295,-3.23324302240454,0.00122393395720664,0.00895233709920941,"NS"
"LINC01300",4.03826736186238,2.10857093170235,0.452967869636064,4.65501213893267,3.23961619986567e-06,8.83311276915604e-05,"Up in DECEASED"
"CEBPA-DT",51.8079683157471,-0.152251239684482,0.165161802442251,-0.921830819433666,0.356616828975259,0.524510390185823,"NS"
"GOLGA2P10",910.182225327106,0.00510348736125552,0.137127985872676,0.03721696434741,0.970312012389396,0.983173713719369,"NS"
"REXO5",59.9888226328659,-0.051993643987572,0.104893973465753,-0.495678085877333,0.620121550652003,0.757208964687603,"NS"
"AFAP1-AS1",873.058273413843,0.421196261093467,0.272629274347748,1.54494143045041,0.122360430948006,0.251884787102995,"NS"
"LINC00839",26.0874491528205,-0.720304963659618,0.202050467191773,-3.56497549187032,0.000363890189867215,0.00359278413025347,"NS"
"JMJD1C-AS1",18.815744512179,-0.0907508681583026,0.151928565713939,-0.597325905973301,0.550289811668118,0.700149535235042,"NS"
"LOC90110",240.682640703663,-0.124535193500359,0.0780563892159071,-1.59545163120331,0.110611278058119,0.234173703534765,"NS"
"LOC90246",31.0271759047872,0.00869323633586588,0.200136781520603,0.0434364751437304,0.965353602167401,0.980835884742053,"NS"
"LOC90784",239.56267207927,-0.170407828667597,0.0813072946563564,-2.09584920255707,0.0360955700767706,0.105224438053587,"NS"
"LOC90834",31.5165496085497,-0.182406381535597,0.139911185530515,-1.3037297971849,0.192325726104277,0.344296226668429,"NS"
"GUSBP11",349.485862511461,-0.311843860619838,0.119546244183686,-2.60856259223571,0.00909233815812039,0.0387573080113257,"NS"
"LOC91450",9.85224744221181,-0.147614967442133,0.151891452570008,-0.971845123240863,0.331127603725483,0.499242578021612,"NS"
"LINC01278",438.811490565076,-0.142724052648808,0.065424995778566,-2.18149120149528,0.0291471045311002,0.0904304893796031,"NS"
"MAFG-DT",100.612775449604,-0.388563492089014,0.118374332011714,-3.28249786491351,0.00102891764834128,0.00792045193140305,"NS"
"TMEM8B",30.1948478843746,-0.284945866675325,0.142520189417648,-1.9993368507272,0.0455719195393536,0.125434492569097,"NS"
"MGAM2",33.6092725581886,0.350900009144038,0.333027259827061,1.05366752657503,0.292035161329113,0.457858383461418,"NS"
"MRFAP1L2",332.028937756743,-0.152408013809843,0.0897725684319405,-1.69771252479413,0.0895620326884092,0.202131367566051,"NS"
"BMS1P20",17803.9062613348,-0.253366811267299,0.244204892322484,-1.03751734397162,0.299494816928234,0.465654204146204,"NS"
"LOH12CR1",107.298313525762,-0.0245794111061272,0.0658104239370761,-0.373488113822645,0.708785190183922,0.821643295625801,"NS"
"LOH12CR2",23.6386987010791,-0.590297537130475,0.131569434711929,-4.4865856452369,7.23736321639282e-06,0.000166566358003084,"NS"
